Comment,Designator,Footprint,LCSC
22p,"C1, C2",C_0603,C1653
22u,C3,C_0603,C59461
10u,C4,C_0603,C19702
4.7u,C5,C_0603,C19666
100n,"C6, C7, C8, C9",C_0603,C14663
10n,C10,C_0603,C57112
1u,C11,C_0603,C15849
0.1u,C12,C_0603,C14663
D_Small,D1,SOD-123,C8598
5.1k,"R1, R2",R_0603,C23186
10k,R5,R_0603,C25197
SW_Push,SW11,SW_SPST_TL3342,C318884
SRV05-4,U1,SOT-23-6,C85364
AMS1117,U2,SOT-223-3_TabPin2,C6186
STM32L151C8TxA,U3,LQFP-48_7x7mm_P0.5mm,C95578
C167321,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
Crystal,Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm,C115962
